"COD","GINI","TX_HOMICIDIO","TX_SUICIDIO","EXPORTACAO_PERCAPITA","POUPANCA_PERCAPITA","ARRECADACAO_TOTAL_IMPOSTOS_PERCAPITA","DESP_CIENCIA_TEC_PERCAPITA","VALOR_TOTAL_BF_PERCAPITA","DESP_LEGISLATIVO_PERCAPITA","RECEITA_IPTU_PERCAPITA","COTA_PARTE_FPM_PERCAPITA","DESP_SAUDE_SANEAMENTO_PERCAPITA","OPERACOES_CREDITO_PERCAPITA"
1200013,0.54,42.79,21.4,NA,0.549966976313801,75.476641667625,NA,66.2649597033022,94.0766564439056,14.7604143784324,1161.18081092647,788.305133727979,5.2324877118979
1200054,0.61,49.38,12.35,18.3830864197531,0.296300478048469,68.0821761982318,NA,90.9922222222222,117.277620987654,NA,1206.46724074074,784.841718518519,0.725846268417667
1200104,0.58,69.23,15.38,358.092192307692,0.984723463282631,105.269459932551,NA,71.2461153846154,103.072371538462,8.68672538461538,876.664712307692,801.54446,3.94518674525865
1200138,0.58,23.23,7.74,NA,0.290822725160958,50.0698349898881,NA,0.04964775102578,92.9008283657196,4.6753348300689,1008.34039792521,506.037796702021,1.56427102579883
1200179,0.56,38.49,0,NA,NA,54.9195101986016,NA,75.1596420323326,107.333788491147,9.49608160123172,1253.34227482679,823.182465357968,NA
1200203,0.64,289.27,244.77,0.176486592373324,1.22858381286874,101.958483206237,NA,0.0612388995298624,77.479583841198,43.5875467960996,496.110104475013,832.248104975623,3.03132366361518
1200252,0.6,31.99,5.33,525.848856426934,1.01368217662018,93.8327444614315,NA,52.362371381351,NA,76.581085994562,1042.047713387,893.085452364451,3.68412894270112
1200302,0.68,45.16,11.29,NA,0.308194337576376,101.301105476106,NA,65.534889629086,NA,NA,735.320550725456,524.026752667532,0.803455726698089
1200328,0.71,0,21.69,NA,NA,60.8169056756855,NA,90.0830622424637,103.155253741054,NA,1059.26585881588,687.470515072652,NA
1200336,0.61,10.37,5.18,NA,NA,36.4963740068998,NA,93.6396807297605,NA,0.492454649113714,1012.59973618742,710.876451228361,NA
1200344,0.59,33.34,16.67,308.322357452484,0.431519962745465,67.094706812234,NA,86.9562354118039,97.5155901967322,NA,NA,613.131040346782,0.870481061185962
1200351,0.59,17.55,5.85,NA,NA,29.0775879842307,NA,104.02749663605,93.1760352190955,0.968225004387761,1142.98831743989,618.132123676359,NA
1200385,0.55,24.15,6.04,NA,0.352906670039432,63.343315484369,NA,54.4005434782609,136.016700483092,9.34805374396135,1179.77652838164,847.819119565217,3.24313066896717
1200393,0.61,18.63,0,NA,NA,28.4675385890108,NA,78.510572892408,101.940285980438,3.27544387517466,1224.81052538426,912.215776432231,NA
1200401,0.59,2050.72,815.88,33.8040635383654,1.29555771881328,335.564959971115,0.58444716467995,45.2965078024762,94.2448474048405,150.110937695336,1695.55560300584,855.920189852943,5.78133984110386
1200427,0.63,26.78,0,NA,NA,26.5505199672941,NA,87.3594189315839,87.5666186905878,4.69549872807605,1307.87918797697,957.870602490293,NA
1200435,0.78,0,0,NA,NA,45.8448042474318,NA,91.4500966830284,NA,NA,1453.2760627696,883.155896177302,NA
1200450,0.55,41.95,13.98,0.155681924116715,0.846838342458712,67.262009939512,NA,78.3252074205276,106.433091265032,24.4599016500419,910.650662347348,834.101010534166,3.75431671954741
1200500,0.54,36.28,7.26,23.1405074619645,0.764624549293295,63.5108192860179,NA,92.6176378105121,NA,20.7942681953414,787.602066129695,851.186147836393,2.69244085381956
1200609,0.65,25.31,9.2,23.9990797616583,0.641399411523961,48.2900896836745,NA,0.0963241079439575,67.0866464214231,5.37626866358387,674.204547587825,568.91501667932,3.09823980535735
1200708,0.58,54.82,0,170.607465877323,0.1401778515214,74.7503611125149,NA,56.4108425149372,113.248917392973,NA,1070.93675985309,755.326343254947,0.824280201873371
1200807,0.6,17.97,11.98,NA,0.390453996405421,50.8669925065666,NA,104.485353142036,94.0437524710957,2.88509255376505,1170.37676331396,687.004846941832,1.1927415347776
2700102,0.56,11.38,5.69,NA,0.936979805614673,26.7192716299348,NA,75.5699705387205,119.911634048822,3.23737794612795,1723.25326020623,1235.58017308502,1.03647850067349
2700201,0.53,7.16,14.32,NA,NA,32.763555843064,NA,0.0996777889159387,162.749877559788,3.02010740369469,2345.38149577545,1315.64852140914,NA
2700300,0.55,33.23,6.82,1.88905648157617,1.36359222219671,180.652626830099,NA,40.6767648362137,66.971114889048,117.974727732897,746.931759936258,941.590752590585,3.97934797018967
2700409,0.5,251.26,100.5,615.314512689273,0.801940557712799,26.2464226893532,NA,79.4825389208787,120.802446417147,3.49888489016848,1455.33864576669,1190.21097568778,1.63343899535119
2700508,0.52,79.44,0,NA,NA,57.5187166771785,NA,99.4669721967614,129.21609532539,7.022,1667.97015887565,1147.00949587534,NA
2700607,0.55,62.94,0,NA,NA,1285.05600564598,NA,0.0814199395770393,255.429818731118,1298.01183031219,2061.6564652568,1516.73836102719,NA
2700706,0.49,0,0,NA,0.119186924637421,49.9128586917548,NA,109.404122081712,139.476153939689,21.1598267266537,1991.46388436284,1534.38377735895,0.236547493815224
2700805,0.56,0.08,0,NA,NA,63.9174970884504,NA,0.0816941973739941,197.381101228293,NA,3468.40299872935,1767.94013977128,NA
2700904,0.65,16.85,16.85,NA,NA,58.3334482307473,NA,101.198113207547,221.230510444744,4.96018699460916,2759.0631671159,1290.48125842318,NA
2701001,0.51,47.2,0,NA,0.976912135168476,53.8049231983263,NA,110.6835795535,147.545088025676,1.4304597158635,1803.71966724878,1391.812234861,1.38149565681459
