"COD","INDICADOR_REND_P_FUND","SAEB_MEDIA_FUND","IDEB_2021_FUND","INDICADOR_REND_P_ENS_MEDIO","SAEB_MEDIA_ENS_MEDIO","IDEB_2021_ENS_MEDIO"
2304400,"0.9992","5.867393","5.9","0.930641","4.71707","4.4"
2304459,"1","6.598412","6.6","0.991935","4.324845","4.3"
2304509,"1","9.150873","9.2","0.980755","4.426493","4.3"
2304608,"1","6.376168","6.4","0.979183","4.263772","4.2"
2304657,"0.998996","8.628409","8.6","0.982589","4.233609","4.2"
2304707,"1","5.521822","5.5","0.995306","4.496165","4.5"
2304806,"1","-","-","0.995629","-","-"
2304905,"1","7.401855","7.4","0.982665","4.649779","4.6"
2304954,"1","5.331028","5.3","0.998998","4.471069","4.5"
2305001,"0.999599","7.511052","7.5","0.996995","4.95561","4.9"
2305100,"1","6.317561","6.3","1","4.134868","4.1"
2305209,"1","6.325525","6.3","0.982974","4.863396","4.8"
2305233,"0.9998","6.454934","6.5","0.972145","4.842378","4.7"
2305266,"1","5.104881","5.1","0.965957","4.29993","4.2"
2305308,"0.999399","5.429199","5.4","0.992661","4.111345","4.1"
2305332,"0.998996","6.364086","6.4","0.957154","4.478523","4.3"
2305357,"1","5.963071","6","0.995657","4.392494","4.4"
2305407,"1","4.81883","4.8","0.996658","4.387176","4.4"
2305506,"0.9996","5.416997","5.4","0.963511","4.850429","4.7"
2305605,"1","8.71455","8.7","1","5.598631","5.6"
2305654,"1","6.629132","6.6","0.982044","5.097732","5"
2305704,"0.998187","4.897146","4.9","1","4.375562","4.4"
2305803,"0.99538","6.493404","6.5","0.995991","5.203087","5.2"
2305902,"1","6.100793","6.1","0.998998","4.549338","4.5"
2306009,"1","5.924787","5.9","0.989275","4.323286","4.3"
2306108,"1","6.216323","6.2","0.997662","4.38709","4.4"
2306207,"1","6.684106","6.7","0.985306","5.4963","5.4"
2306256,"0.993994","5.944527","5.9","0.978319","4.781345","4.7"
2306306,"1","6.335404","6.3","0.987903","4.860286","4.8"
2306405,"0.999199","5.995085","6","0.976317","4.62386","4.5"
2306504,"1","7.523622","7.5","0.962863","4.226943","4.1"
2306553,"0.998794","6.040972","6","0.984251","4.594259","4.5"
2306603,"1","6.142133","6.1","0.962654","4.396815","4.2"
2306702,"1","5.814133","5.8","0.959107","4.557326","4.4"
2306801,"0.993761","6.401552","6.4","0.975643","4.409993","4.3"
2306900,"0.999399","5.884007","5.9","0.967598","4.599162","4.5"
2307007,"1","6.261073","6.3","0.993958","4.870256","4.8"
2307106,"0.996986","5.44261","5.4","0.987884","4.469931","4.4"
2307205,"1","6.010242","6","1","4.257252","4.3"
2307254,"1","9.084833","9.1","0.942951","5.141565","4.8"
2307304,"1","5.446628","5.4","0.978428","4.911225","4.8"
2307403,"1","5.931491","5.9","0.988313","4.676694","4.6"
2307502,"0.998396","4.936036","4.9","0.998998","4.28213","4.3"
2307601,"0.999599","6.505008","6.5","0.977779","5.077928","5"
2307635,"0.997395","5.719931","5.7","1","4.425563","4.4"
2307650,"1","5.716211","5.7","0.972562","4.421134","4.3"
2307700,"0.9994","5.764314","5.8","0.997332","4.528388","4.5"
2307809,"1","7.018242","7","1","4.694196","4.7"
2307908,"1","6.871028","6.9","0.983871","4.415916","4.3"
2308005,"1","7.5463","7.5","0.978138","4.498402","4.4"
2308104,"1","5.035702","5","0.993653","4.438963","4.4"
2308203,"1","7.301865","7.3","1","4.519803","4.5"
2308302,"0.998798","4.909582","4.9","0.989637","4.775516","4.7"
2308351,"1","8.555853","8.6","0.997319","4.157828","4.1"
2308377,"1","4.996685","5","0.995653","3.863447","3.8"
2308401,"0.999599","4.719251","4.7","0.975358","4.086201","4"
2308500,"0.995197","6.665977","6.6","0.958712","4.403348","4.2"
2308609,"0.991363","6.877685","6.8","0.998998","4.660571","4.7"
2308708,"0.9998","5.667276","5.7","0.987917","4.740251","4.7"
2308807,"0.99839","6.109103","6.1","0.952001","5.3335","5.1"
2308906,"0.999197","5.688693","5.7","0.98965","4.429714","4.4"
2309003,"1","9.433232","9.4","0.929604","4.500484","4.2"
2309102,"1","5.586874","5.6","0.997319","4.598128","4.6"
2309201,"1","6.667571","6.7","0.991992","4.626992","4.6"
2309300,"1","7.173758","7.2","0.990983","4.510542","4.5"
2309409,"1","8.883423","8.9","1","5.079676","5.1"
2309458,"1","5.872006","5.9","0.975614","4.573881","4.5"
2309508,"0.996386","5.583433","5.6","0.983815","4.118641","4.1"
2309607,"0.9994","6.358041","6.4","0.987577","4.996123","4.9"
2309706,"0.998796","5.456981","5.5","0.973938","5.076519","4.9"
2309805,"1","5.178403","5.2","0.938793","4.294152","4"
2309904,"0.997168","7.191543","7.2","0.996982","5.697293","5.7"
2310001,"1","6.265978","6.3","0.987528","4.525925","4.5"
2310100,"1","5.821488","5.8","0.998663","4.782928","4.8"
2310209,"0.998797","6.633008","6.6","0.983246","4.834263","4.8"
2310258,"1","5.947593","5.9","1","4.33865","4.3"
2310308,"0.996393","6.291223","6.3","0.995327","4.56707","4.5"
2310407,"0.99296","5.813309","5.8","0.984882","4.790832","4.7"
2310506,"1","8.580388","8.6","0.975898","5.326685","5.2"
2310605,"0.998592","5.248872","5.2","0.973334","4.463916","4.3"
2310704,"1","6.056756","6.1","0.987569","4.485234","4.4"
2310803,"0.998597","6.595131","6.6","0.973797","5.203597","5.1"
2310852,"1","6.088696","6.1","0.979604","3.984746","3.9"
2310902,"1","7.919025","7.9","0.975999","4.380529","4.3"
2310951,"1","9.077588","9.1","0.955061","4.0484","3.9"
2311009,"1","6.154241","6.2","0.981157","4.735188","4.6"
2311108,"1","5.59695","5.6","0.970909","4.068131","3.9"
2311207,"0.998592","5.229692","5.2","0.976391","4.81397","4.7"
2311231,"1","6.204949","6.2","0.988226","4.424745","4.4"
2311264,"1","5.900015","5.9","0.992967","4.354192","4.3"
2311306,"1","5.28623","5.3","0.990258","4.16633","4.1"
2311355,"0.993785","5.499057","5.5","0.926469","4.845612","4.5"
2311405,"1","7.835978","7.8","0.986961","4.538719","4.5"
2311504,"1","6.282774","6.3","0.987664","4.779324","4.7"
2311603,"1","5.866727","5.9","0.988995","4.854394","4.8"
2311702,"0.999197","8.247034","8.2","0.991913","4.979891","4.9"
2311801,"0.9996","6.139305","6.1","0.998999","5.178414","5.2"
2311900,"1","5.392947","5.4","0.974622","4.313422","4.2"
2311959,"0.999399","5.506305","5.5","0.943981","3.912664","3.7"
2312007,"0.997996","6.423057","6.4","0.99131","4.530427","4.5"
2312106,"1","4.789824","4.8","0.955665","3.865106","3.7"
2312205,"1","6.300058","6.3","0.994327","4.361143","4.3"
2312304,"1","7.31069","7.3","0.996661","4.908723","4.9"
2312403,"1","6.071643","6.1","0.998332","4.620967","4.6"
2312502,"1","6.227187","6.2","0.979679","4.849896","4.8"
2312601,"0.998592","5.118387","5.1","0.997319","3.940645","3.9"
2312700,"1","8.085903","8.1","0.995657","4.94132","4.9"
2312809,"1","6.470883","6.5","1","4.34001","4.3"
2312908,"1","7.956683","8","0.994306","5.213782","5.2"
2313005,"1","7.206793","7.2","0.968233","4.106874","4"
2313104,"0.99779","6.068203","6.1","0.985501","4.873156","4.8"
2313203,"1","6.609249","6.6","1","4.319181","4.3"
2313252,"1","5.421929","5.4","0.991965","4.527947","4.5"
2313302,"0.998798","5.81531","5.8","0.990657","4.613349","4.6"
2313351,"1","5.671545","5.7","0.975432","4.867529","4.7"
2313401,"0.9998","5.611672","5.6","0.994313","4.649046","4.6"
2313500,"1","5.720997","5.7","0.985641","4.653508","4.6"
2313559,"1","5.382852","5.4","1","4.169082","4.2"
2313609,"1","6.136296","6.1","0.985981","4.73882","4.7"
2313708,"1","4.983178","5","1","3.661567","3.7"
2313757,"1","5.195897","5.2","0.887342","3.889613","3.5"
2313807,"1","5.413677","5.4","0.997662","4.549027","4.5"
2313906,"1","8.366854","8.4","1","4.466313","4.5"
2313955,"1","6.225378","6.2","0.973285","4.318734","4.2"
2314003,"1","6.143622","6.1","0.997662","4.459687","4.4"
2314102,"0.999399","6.103294","6.1","0.997997","4.451176","4.4"
2400109,"1","5.825377","5.8","0.817989","4.078074","3.3"
2400208,"0.942825","4.733293","4.5","0.700228","-","-"
2400307,"0.876656","3.824118","3.4","0.637651","3.484115","2.2"
2400406,"0.986953","5.202372","5.1","0.83477","-","-"
2400505,"0.936762","4.869111","4.6","0.657029","-","-"
2400604,"0.887265","4.940795","4.4","0.885644","4.493115","4"
2400703,"0.991736","5.664117","5.6","0.824947","3.776822","3.1"
2400802,"0.865791","4.962085","4.3","0.624707","-","-"
2400901,"0.797792","4.593681","3.7","0.695367","-","-"
2401008,"0.950091","5.192518","4.9","0.811642","5.082531","4.1"
2401107,"0.951615","4.876491","4.6","0.671802","4.321045","2.9"
2401206,"0.840741","4.184178","3.5","0.630066","-","-"
2401305,"0.97448","5.139922","5","0.667244","-","-"
2401404,"0.947776","-","-","0.606013","-","-"
2401453,"0.849168","5.072808","4.3","0.588834","-","-"
2401503,"1","-","-","0.803192","-","-"
2401602,"0.885039","-","-","0.777185","-","-"
2401651,"0.991308","-","-","0.772924","-","-"
2401701,"0.886867","4.833895","4.3","0.740011","-","-"
2401800,"0.991668","5.093808","5.1","0.771015","3.696111","2.8"
2401859,"0.847316","4.249925","3.6",NA,NA,NA
2401909,"0.985817","4.473788","4.4","0.593718","-","-"
2402006,"0.970396","5.529895","5.4","0.846919","5.320875","4.5"
2402105,"0.984084","5.345262","5.3","0.728329","-","-"
2402204,"0.89913","4.564967","4.1","0.728328","-","-"
2402303,"0.916865","5.06456","4.6","0.798725","4.256662","3.4"
2402402,"0.995728","5.85443","5.8","0.674842","-","-"
2402501,"0.866833","5.129747","4.4","0.684943","-","-"
2402600,"0.880371","4.66495","4.1","0.729322","-","-"
2402709,"1","4.679739","4.7","-","-","-"
2402808,"0.902964","4.255473","3.8","0.711612","3.677874","2.6"
2402907,"0.902108","-","-","0.911998","-","-"
2403004,"0.993852","6.47959","6.4","0.622172","-","-"
2403103,"0.968897","5.336913","5.2","0.824538","5.409691","4.5"
2403202,"0.953527","5.492906","5.2","0.783254","-","-"
2403251,"0.909998","4.985831","4.5","0.814427","4.877932","4"
2403301,"0.921835","5.278525","4.9","0.643258","-","-"
2403400,"0.970114","5.380953","5.2","0.720237","-","-"
2403509,"0.855771","4.189841","3.6","0.81691","-","-"
2403608,"0.846511","4.638793","3.9","0.766614","-","-"
2403707,"0.939665","5.247056","4.9","0.825423","-","-"
2403756,"0.896275","4.548204","4.1","0.656937","-","-"
2403806,"0.987841","4.863662","4.8","0.683881","3.90272","2.7"
2403905,"-","-","-","0.721804","-","-"
2404002,"0.97228","4.956431","4.8","0.726092","-","-"
2404101,"0.963682","-","-","-","-","-"
2404200,"0.866734","4.965748","4.3","0.491254","-","-"
2404309,"0.977518","-","-","0.687133","-","-"
2404408,"0.851458","5.26071","4.5","0.562209","-","-"
2404507,"0.923613","-","-","0.73212","3.884725","2.8"
2404606,"0.978742","-","-","0.503431","-","-"
2404705,"0.927597","4.179876","3.9","0.807675","-","-"
2404804,"1","5.311201","5.3","0.957734","5.199284","5"
2404853,"0.985868","4.717996","4.7","0.487027","-","-"
2404903,"0.98014","4.760151","4.7","0.49599","4.019475","2"
2405009,"0.985073","4.755827","4.7","0.845851","-","-"
2405108,"0.97952","4.514611","4.4","0.707665","3.8774","2.7"
2405207,"0.937372","4.526998","4.2","0.802149","-","-"
2405306,"0.864994","-","-","0.710792","-","-"
2405405,"0.922275","4.055805","3.7","0.671674","-","-"
2405504,"0.864862","-","-","-","-","-"
2405603,"0.968472","4.874187","4.7","0.869701","-","-"
2405702,"0.943547","5.930514","5.6","0.841431","4.666893","3.9"
2405801,"0.977701","4.218748","4.1","0.707416","-","-"
2405900,"0.80139","-","-","0.898534","-","-"
2406007,"0.981647","4.098654","4","0.910106","-","-"
2406106,"0.922771","4.570061","4.2","0.945025","-","-"
2406155,"0.909813","4.879834","4.4","0.656493","-","-"
2406205,"0.974986","4.450867","4.3","0.900722","-","-"
2406304,"0.956605","-","-","0.802008","-","-"
2406403,"0.87395","5.19837","4.5","0.519602","-","-"
2406502,"0.890689","5.007275","4.5","0.693925","-","-"
2406601,"0.980964","4.617852","4.5","0.574159","-","-"
2406700,"0.942118","4.794693","4.5","0.902147","4.946737","4.5"
2406809,"0.902685","-","-","0.805989","-","-"
2406908,"0.905413","4.857237","4.4","0.566281","-","-"
2407005,"0.804506","5.090577","4.1","0.690525","-","-"
2407104,"0.90908","4.788507","4.4","0.755683","-","-"
2407203,"0.935383","4.800389","4.5","0.830367","4.835711","4"
2407252,"0.821927","-","-","0.930616","4.589383","4.3"
2407302,"0.976411","4.030522","3.9","0.784712","-","-"
2407401,"0.935706","5.338747","5","0.755764","4.392431","3.3"
2407500,"0.925699","-","-","0.590071","-","-"
2407609,"0.945287","4.337027","4.1","0.743114","-","-"
2407708,"0.924498","4.67555","4.3","0.805596","-","-"
2407807,"0.900532","4.773006","4.3","0.656682","-","-"
2407906,"0.766168","-","-","0.759036","-","-"
2408003,"0.935034","5.472938","5.1","0.789473","4.596347","3.6"
2408102,"0.887456","4.902737","4.4","0.722235","-","-"
2408201,"0.946919","4.503214","4.3","0.791169","-","-"
2408300,"0.977621","4.01195","3.9","0.792645","-","-"
2408409,"0.915933","4.498028","4.1","0.749876","-","-"
2408508,"0.990218","-","-","0.955466","-","-"
2408607,"0.869641","5.545746","4.8","0.789144","-","-"
2408706,"0.895308","-","-","0.618893","-","-"
2408805,"0.934334","4.509687","4.2","0.779929","3.64948","2.8"
2408904,"0.916333","5.229596","4.8","0.791784","5.05095","4"
2408953,"0.968201","-","-","0.683997","-","-"
2409100,"0.922162","4.741461","4.4","0.782548","-","-"
2409209,"0.936083","-","-","0.767658","-","-"
2409308,"0.872209","5.010917","4.4","0.65556","-","-"
2409332,"0.988525","4.578369","4.5","0.829902","-","-"
2409407,"0.982818","5.173481","5.1","0.893295","5.714761","5.1"
2409506,"0.971838","4.537389","4.4","0.99118","-","-"
2409605,"0.974748","-","-","0.768186","-","-"
2409704,"0.843091","4.613578","3.9","0.460653","-","-"
2409803,"0.881306","4.466017","3.9","0.82641","-","-"
2409902,"0.981282","4.549591","4.5","0.776708","3.895228","3"
2410009,"0.958151","5.209704","5","0.773408","-","-"
2410108,"0.912298","4.16991","3.8","0.808727","-","-"
2410207,"0.962062","5.122048","4.9","0.669093","-","-"
2410256,"0.904577","5.194729","4.7","0.92076","-","-"
2410306,"0.94804","4.436734","4.2","0.594432","-","-"
2410405,"0.922239","4.46195","4.1","0.627298","-","-"
2410504,"0.855944","5.181647","4.4","0.677923","-","-"
2410603,"0.934931","6.22892","5.8","0.958779","4.482808","4.3"
2410702,"0.942201","5.197661","4.9","0.738371","-","-"
2410801,"0.944677","-","-","0.818709","-","-"
2410900,"0.985245","4.160479","4.1","0.778411","-","-"
2411007,"0.996141","4.978843","5","0.639157","-","-"
2411056,"0.990846","5.489761","5.4","0.557034","4.055859","2.3"
2411106,"0.995106","5.10796","5.1","0.856886","-","-"
2411205,"0.988624","4.856192","4.8","0.831211","4.90143","4.1"
2411403,"0.868869","4.92784","4.3","0.476199","-","-"
2411429,"1","-","-","0.963985","-","-"
2411502,"0.976683","5.148861","5","0.662544","-","-"
2411601,"0.830509","-","-","0.710655","-","-"
2411700,"0.920057","4.870997","4.5","0.639039","-","-"
2411809,"0.995314","5.92552","5.9","0.857513","-","-"
2411908,"0.932729","4.830509","4.5","0.594633","3.934555","2.3"
2412005,"0.921921","4.657822","4.3","0.721335","-","-"
2412104,"0.977795","5.82402","5.7","0.906261","-","-"
2412203,"0.867621","4.803397","4.2","0.531233","-","-"
2412302,"0.931615","4.165897","3.9","0.631745","-","-"
2412401,"1","5.53987","5.5","0.947142","-","-"
2412500,"1","5.518261","5.5","0.519757","-","-"
2412559,"0.895036","4.92013","4.4","0.364429","-","-"
2412609,"0.996783","4.605867","4.6","0.89597","5.079417","4.6"
2412708,"0.888766","4.231336","3.8","0.713215","-","-"
2412807,"0.850154","4.52472","3.8","0.583708","-","-"
2412906,"0.88692","4.564913","4","0.641573","-","-"
2413003,"0.965614","4.858463","4.7","0.614978","4.511582","2.8"
2413102,"0.885833","4.713285","4.2","0.498677","-","-"
2413201,"0.870266","4.078229","3.5","0.783217","-","-"
2413300,"0.886121","4.3611","3.9","0.74814","-","-"
2413359,"0.981266","-","-","0.64838","-","-"
2413409,"0.987054","4.989096","4.9","0.87725","-","-"
2413508,"0.983171","5.146303","5.1","0.689353","-","-"
2413557,"0.96807","5.118935","5","0.711082","4.190052","3"
2413607,"0.988927","5.247823","5.2","0.817427","3.855053","3.2"
2413706,"0.964028","4.895296","4.7","-","-","-"
2413805,"1","5.274204","5.3","0.799211","4.275376","3.4"
2413904,"0.913259","4.262793","3.9","0.711325","-","-"
2414001,"0.899908","4.752733","4.3","0.547122","-","-"
2414100,"0.962182","5.713443","5.5","0.615674","-","-"
2414159,"0.997577","-","-","0.724743","-","-"
2414209,"0.895263","4.616303","4.1","0.726035","-","-"
2414308,"0.983589","5.166511","5.1","0.84612","4.115992","3.5"
2414407,"0.969242","4.40309","4.3","0.613512","-","-"
2414456,"0.891515","4.311786","3.8","0.594907","-","-"
2414506,"0.944831","4.855328","4.6","0.796458","-","-"
2414605,"0.923326","4.992112","4.6","0.66307","4.481704","3"
2414704,"0.840913","-","-","0.658183","-","-"
2414753,"0.904532","-","-","0.734944","-","-"
2414803,"0.997577","4.682698","4.7","0.387645","-","-"
2414902,"0.936684","5.621993","5.3","0.709313","4.181276","3"
2415008,"0.918757","-","-","0.612996","-","-"
2500106,"0.998794","6.347942","6.3","1","4.579629","4.6"
2500205,"1","4.8278","4.8","0.989449","-","-"
2500304,"0.727075","5.289835","3.8","0.941691","-","-"
2500403,"0.992157","4.844133","4.8","0.92242","-","-"
2500502,"0.968645","4.632334","4.5","0.984348","-","-"
2500536,"0.978353","5.761365","5.6","0.949754","-","-"
2500577,"1","-","-","-","-","-"
2500601,"0.970655","4.28632","4.2","0.912725","-","-"
2500700,"0.997168","5.268801","5.3","0.971518","4.270004","4.1"
2500734,"1","4.973028","5","0.985597","-","-"
2500775,"1","5.735607","5.7","0.990622","-","-"
2500809,"0.956827","4.046317","3.9","0.956016","-","-"
2500908,"0.991901","4.736307","4.7","0.966823","-","-"
2501005,"0.962007","4.98031","4.8","0.995289","-","-"
2501104,"0.998794","4.975094","5","0.998663","4.09475","4.1"
2501153,"-","-","-","1","-","-"
2501203,"0.984845","5.695044","5.6","0.952792","-","-"
2501302,"0.975879","4.559842","4.4","1","3.766319","3.8"
2501351,"1","4.742265","4.7","1","-","-"
2501401,"0.920213","-","-","0.952319","3.470164","3.3"
2501500,"0.982386","5.000994","4.9","0.905468","-","-"
2501534,"1","5.330672","5.3","0.97482","-","-"
2501575,"1","5.05238","5.1","1","-","-"
2501609,"0.983266","5.886076","5.8","0.957751","-","-"
2501708,"1","5.420217","5.4","0.934807","-","-"
2501807,"0.856721","4.889158","4.2","0.739812","-","-"
2501906,"0.994156","4.74806","4.7","0.955256","4.111545","3.9"
2502003,"0.979853","5.29406","5.2","0.94395","4.354028","4.1"
2502052,"0.984945","5.623085","5.5","1","-","-"
2502102,"0.997577","4.291629","4.3","1","-","-"
2502151,"0.920582","6.506283","6","1","3.831366","3.8"
2502201,"1","4.497255","4.5","0.737632","-","-"
2502300,"0.99469","5.143333","5.1","1","-","-"
2502409,"0.971233","4.971288","4.8","1","-","-"
2502508,"0.971674","5.270232","5.1","0.998663","4.109731","4.1"
2502607,"0.997577","-","-","0.956606","-","-"
2502706,"0.99778","4.720149","4.7","0.967825","-","-"
2502805,"0.997577","5.166569","5.2","0.983268","3.979306","3.9"
2502904,"0.981698","4.917237","4.8","1","-","-"
2503001,"0.901874","4.399364","4","0.994297","3.769998","3.7"
2503100,"1","6.635933","6.6","0.99062","4.577648","4.5"
2503209,"0.961917","5.122726","4.9","0.948262","-","-"
2503308,"0.993946","-","-","0.898624","-","-"
2503407,"0.99469","-","-","1","-","-"
2503506,"0.964598","5.267099","5.1","0.961428","4.215042","4.1"
2503555,"0.940921","5.092881","4.8","0.995968","-","-"
2503605,"0.923523","4.625915","4.3","0.979666","-","-"
2503704,"0.996193","5.15901","5.1","0.980138","-","-"
2503753,"0.994898","5.083525","5.1","0.906129","-","-"
2503803,"0.968452","5.005466","4.8","0.977948","4.207207","4.1"
2503902,"0.997984","5.833316","5.8","1","4.974972","5"
2504009,"1","5.241962","5.2","0.968108","4.608884","4.5"
2504033,"0.99778","4.151915","4.1","0.993585","4.247342","4.2"
2504074,"0.953814","-","-","1","-","-"
2504108,"0.995314","5.882808","5.9","0.968462","-","-"
2504157,"0.985445","5.351505","5.3","0.938868","-","-"
2504207,"1","-","-","0.993243","-","-"
2504306,"0.981099","5.43353","5.3","0.978537","-","-"
2504355,"0.985459","-","-","1","-","-"
2504405,"0.98682","4.779586","4.7","0.954191","-","-"
2504504,"0.997577","-","-","1","-","-"
2504603,"0.987657","4.960799","4.9","0.793852","-","-"
2504702,"1","4.985031","5","1","4.666858","4.7"
2504801,"0.982859","4.5713","4.5","0.997656","4.299738","4.3"
2504850,"1","6.557786","6.6","1","-","-"
2504900,"0.918484","4.500071","4.1","0.92551","3.555225","3.3"
2505006,"0.99778","5.677884","5.7","1","4.635596","4.6"
2505105,"1","5.802206","5.8","1","4.522855","4.5"
2505204,"0.990811","4.508065","4.5","0.896299","-","-"
2505238,"0.979362","-","-","0.990143","-","-"
2505279,"0.978621","-","-","1","-","-"
2505303,"0.984494","5.275625","5.2","1","-","-"
2505352,"1","5.178509","5.2","0.983471","4.275164","4.2"
2505402,"1","4.993203","5","1","-","-"
2505501,"-","-","-","0.985597","-","-"
2505600,"0.99778","4.991897","5","0.948936","3.935292","3.7"
2505709,"1","5.670784","5.7","0.995629","-","-"
2505808,"1","6.588628","6.6","0.980421","-","-"
2505907,"0.995521","-","-","0.96515","-","-"
2506004,"0.999197","5.676995","5.7","0.981578","-","-"
2506103,"0.919137","-","-","0.906971","-","-"
2506202,"0.993432","4.860242","4.8","0.960047","-","-"
2506251,"1","4.854085","4.9","1","-","-"
2506301,"0.980505","4.880418","4.8","0.962045","-","-"
2506400,"1","4.154035","4.2","1","-","-"
2506509,"0.973855","5.321069","5.2","1","3.277912","3.3"
2506608,"0.95232","4.63762","4.4","0.979348","-","-"
2506707,"0.970715","4.654846","4.5","1","3.842512","3.8"
2506806,"0.992705","4.516731","4.5","1","-","-"
2506905,"0.943841","5.038663","4.8","0.938133","4.705954","4.4"
2507002,"0.984133","4.836597","4.8","0.918948","4.824424","4.4"
2507101,"0.997185","4.249343","4.2","0.990994","3.90699","3.9"
2507200,"0.992581","4.483117","4.4","1","-","-"
2507309,"0.971612","5.112916","5","0.948609","-","-"
2507408,"0.922403","5.196776","4.8","1","-","-"
2507507,"0.951849","5.294997","5","0.924392","-","-"
2507606,"0.970513","5.076044","4.9","0.922586","-","-"
2507705,"0.988031","5.144094","5.1","0.985284","4.568729","4.5"
2507804,"0.995521","4.444081","4.4","1","-","-"
2507903,"0.986697","4.70091","4.6","1","-","-"
2508000,"1","5.722688","5.7","0.995968","4.65642","4.6"
2508109,"0.963653","5.570363","5.4","0.914557","-","-"
2508208,"0.987314","4.681144","4.6","0.988404","-","-"
2508307,"0.998194","4.943354","4.9","1","-","-"
2508406,"1","4.678267","4.7","1","-","-"
2508505,"0.991285","5.273716","5.2","0.989933","4.318247","4.3"
2508554,"0.974743","5.938144","5.8","0.866797","-","-"
2508604,"0.894315","4.708473","4.2","0.88977","3.63101","3.2"
2508703,"1","4.693057","4.7","0.961296","4.50988","4.3"
2508802,"1","-","-","0.931322","-","-"
2508901,"0.995395","4.824355","4.8","0.907613","3.998073","3.6"
2509008,"0.970276","5.493109","5.3","1","-","-"
2509057,"0.912376","4.437143","4","0.870147","-","-"
2509107,"0.972373","4.792238","4.7","0.995968","4.072816","4.1"
2509156,"1","5.223584","5.2","1","3.986917","4"
2509206,"0.990244","5.01996","5","0.989322","-","-"
2509305,"1","4.924273","4.9","0.924012","-","-"
2509339,"0.992798","5.407622","5.4","0.991632","3.899282","3.9"
2509370,"0.893598","-","-","-","-","-"
2509396,"0.959313","5.076414","4.9","0.831973","-","-"
2509404,"0.981041","4.648108","4.6","1","-","-"
2509503,"0.997984","5.926101","5.9","0.942959","4.494308","4.2"
2509602,"1","5.561117","5.6","0.906065","-","-"
2509701,"1","5.84241","5.8","0.928319","4.603415","4.3"
2509800,"1","4.951734","5","0.961083","-","-"
2509909,"0.993356","5.065429","5","0.978805","-","-"
2510006,"0.99839","4.905455","4.9","0.995968","3.714109","3.7"
2510105,"0.995567","4.996924","5","0.983193","-","-"
2510204,"0.998187","4.407419","4.4","1","4.326623","4.3"
2510303,"0.988512","6.767664","6.7","1","4.872567","4.9"
2510402,"0.994141","4.849172","4.8","0.977744","-","-"
2510501,"0.993432","5.171584","5.1","1","-","-"
2510600,"1","-","-","1","-","-"
2510659,"0.982333","5.449803","5.4","1","4.031351","4"
2510709,"0.995106","5.587771","5.6","1","-","-"
2510808,"0.981971","5.113492","5","0.847417","4.69395","4"
2510907,"0.989684","-","-","0.990939","-","-"
2511004,"1","4.328979","4.3","0.961014","4.350294","4.2"
2511103,"0.982659","6.151087","6","1","4.362908","4.4"
2511202,"0.998195","4.983787","5","1","3.817117","3.8"
2511301,"0.984954","4.593954","4.5","0.954715","-","-"
2511400,"0.999197","5.693773","5.7","0.899662","4.93945","4.4"
2511509,"0.997984","4.687808","4.7","1","-","-"
2511608,"0.995974","4.830587","4.8","0.996982","-","-"
2511707,"0.997577","4.000414","4","0.974214","3.60296","3.5"
2511806,"0.966717","4.866721","4.7","0.980932","3.78624","3.7"
2511905,"0.971817","4.643337","4.5","0.921996","-","-"
2512002,"0.997182","5.618248","5.6","1","4.107809","4.1"
2512036,"0.888309","5.592652","5","0.957823","-","-"
2512077,"1","5.345777","5.3","1","-","-"
2512101,"0.997397","6.034513","6","0.998332","4.721671","4.7"
2512200,"0.886448","-","-","0.96082","-","-"
2512309,"1","6.569877","6.6","0.870493","4.523648","3.9"
2512408,"0.995986","-","-","0.989642","4.104557","4.1"
2512507,"0.995975","6.170365","6.1","0.931287","4.074934","3.8"
2512606,"1","5.466738","5.5","0.96595","-","-"
2512705,"0.999197","5.279967","5.3","0.98765","-","-"
2512721,"0.995165","-","-","1","-","-"
2512747,"0.99301","4.794258","4.8","0.924041","-","-"
2512754,"1","4.825889","4.8","0.966079","-","-"
2512762,"0.984811","-","-","0.996306","-","-"
2512788,"1","5.066046","5.1","-","-","-"
2512804,"0.979978","5.534514","5.4","0.993927","-","-"
2512903,"0.918438","4.904452","4.5","0.970946","4.066966","3.9"
2513000,"1","-","-","0.942911","-","-"
2513109,"0.992042","-","-","0.968976","3.798256","3.7"
2513158,"0.939591","4.932373","4.6","0.987569","3.764581","3.7"
2513208,"0.997577","5.321139","5.3","0.989449","4.555077","4.5"
2513307,"1","4.859417","4.9","1","4.843929","4.8"
2513356,"0.995521","5.108943","5.1","0.933165","-","-"
2513406,"0.99739","5.482754","5.5","0.965977","4.287116","4.1"
2513505,"0.925572","5.755796","5.3","1","-","-"
2513604,"1","4.281062","4.3","1","-","-"
2513653,"1","5.149732","5.1","0.993585","4.015871","4"
2513703,"0.871594","4.612762","4","0.958893","-","-"
2513802,"1","-","-","0.972203","-","-"
2513851,"0.996141","-","-","1","-","-"
2513901,"0.991384","5.202337","5.2","0.805704","-","-"
2513927,"0.996759","4.83139","4.8","1","4.552455","4.6"
2513943,"0.996553","6.503614","6.5","0.914358","5.121117","4.7"
2513968,"0.911438","-","-","1","4.342777","4.3"
2513984,"1","6.483982","6.5","1","4.385075","4.4"
