"COD","INDICADOR_REND_P_FUND","SAEB_MEDIA_FUND","IDEB_2021_FUND","INDICADOR_REND_P_ENS_MEDIO","SAEB_MEDIA_ENS_MEDIO","IDEB_2021_ENS_MEDIO"
2105351,"0.930473","4.207923","3.9","0.805885","3.494519","2.8"
2105401,"0.976085","4.356097","4.3","0.782861","3.643204","2.9"
2105427,"0.970882","4.825584","4.7","0.88711","4.140089","3.7"
2105450,"0.943679","4.886319","4.6","0.967653","-","-"
2105476,"0.875027","4.443503","3.9","0.756244","-","-"
2105500,"0.990179","4.992647","4.9","0.91405","3.989968","3.6"
2105609,"0.967452","4.603945","4.5","1","-","-"
2105658,"0.949782","5.179473","4.9","0.749367","-","-"
2105708,"0.985953","4.807078","4.7","0.946641","4.031133","3.8"
2105807,"0.996986","4.583675","4.6","0.960347","4.085012","3.9"
2105906,"0.947163","4.821625","4.6","0.843071","3.48007","2.9"
2105922,"1","5.619354","5.6","0.997656","3.486578","3.5"
2105948,"1","5.152194","5.2","0.985472","4.204571","4.1"
2105963,"0.985414","4.517722","4.5","0.960898","3.859661","3.7"
2105989,"0.98258","5.141146","5.1","0.986177","3.775953","3.7"
2106003,"0.998996","5.379778","5.4","0.976091","3.654028","3.6"
2106102,"0.965631","4.910272","4.7","1","3.921097","3.9"
2106201,"0.986114","4.104713","4","0.928167","4.69033","4.4"
2106300,"0.994586","4.916624","4.9","0.957293","3.354301","3.2"
2106326,"0.917619","4.366223","4","0.912333","3.492349","3.2"
2106359,"0.942133","5.238792","4.9","0.901718","-","-"
2106375,"0.971071","5.541206","5.4","0.853566","3.303365","2.8"
2106409,"0.969478","4.222078","4.1","1","3.459837","3.5"
2106508,"0.996178","4.393083","4.4","0.948684","3.627327","3.4"
2106607,"0.908606","4.854729","4.4","0.761166","3.78235","2.9"
2106631,"0.918663","4.639147","4.3","0.748819","3.358801","2.5"
2106672,"0.995773","4.250705","4.2","0.922329","-","-"
2106706,"0.983157","4.121357","4.1","0.954737","3.462497","3.3"
2106755,"1","5.32995","5.3","0.90678","3.662882","3.3"
2106805,"0.967658","4.467251","4.3","0.858943","3.846276","3.3"
2106904,"0.894425","4.175285","3.7","0.761039","3.610033","2.7"
2107001,"0.913709","4.658052","4.3","0.842374","3.974196","3.3"
2107100,"0.969306","5.645544","5.5","0.851275","3.379166","2.9"
2107209,"0.977662","4.233179","4.1","0.910676","3.61172","3.3"
2107258,"0.947431","4.574983","4.3","0.994609","4.160791","4.1"
2107308,"0.968225","4.203085","4.1","0.924974","3.238934","3"
2107357,"0.971391","4.823791","4.7","0.984504","3.948747","3.9"
2107407,"0.949488","5.033428","4.8","0.704194","3.942708","2.8"
2107456,"0.991569","3.85328","3.8","0.979159","3.498738","3.4"
2107506,"0.998798","5.242533","5.2","0.87197","4.073262","3.6"
2107605,"0.972244","4.790259","4.7","0.977921","3.507843","3.4"
2107704,"0.968028","4.478785","4.3","0.774004","3.906258","3"
2107803,"0.931142","5.995998","5.6","0.895011","3.843111","3.4"
2107902,"0.994587","4.574525","4.5","0.97477","3.686918","3.6"
2108009,"0.996774","5.088925","5.1","0.922654","3.582303","3.3"
2108058,"0.962634","4.602541","4.4","0.909689","3.338264","3"
2108108,"0.977141","4.339382","4.2","0.971174","-","-"
2108207,"0.962838","5.071652","4.9","0.968019","4.475826","4.3"
2108256,"0.999199","4.524129","4.5","0.775245","3.376357","2.6"
2108306,"0.967551","4.878948","4.7","0.895476","3.570653","3.2"
2108405,"0.979315","5.1147","5","0.877071","-","-"
2108454,"1","4.270137","4.3","0.986563","-","-"
2108504,"0.961859","4.341162","4.2","0.765168","-","-"
2108603,"0.97936","4.980023","4.9","0.868887","3.896791","3.4"
2108702,"0.950739","4.560997","4.3","0.781812","3.772622","2.9"
2108801,"0.984107","4.616547","4.5","0.950539","3.563573","3.4"
2108900,"1","5.929076","5.9","0.973427","4.200818","4.1"
2109007,"0.997593","5.906437","5.9","0.943522","4.250873","4"
2109056,"0.997984","-","-","0.940812","3.837197","3.6"
2109106,"0.96691","4.793974","4.6","0.880964","4.207642","3.7"
2109205,"0.987524","4.683906","4.6","0.915712","3.349852","3.1"
2109239,"0.902146","4.375651","3.9","0.886734","3.815656","3.4"
2109270,"0.980365","4.438694","4.4","0.801794","3.145475","2.5"
2109304,"0.989954","4.183786","4.1","0.959966","3.532146","3.4"
2109403,"0.979328","4.670477","4.6","0.888468","-","-"
2109452,"0.952937","4.669607","4.4","0.772917","3.814733","2.9"
2109502,"0.964177","4.276586","4.1","0.978611","3.923647","3.8"
2109551,"0.908228","4.403285","4","0.970158","3.982543","3.9"
2109601,"0.975836","4.890805","4.8","0.912738","3.848061","3.5"
2109700,"0.962313","4.177992","4","1","3.362344","3.4"
2109759,"0.965345","-","-","1","-","-"
2109809,"0.94313","4.658899","4.4","0.778151","3.808766","3"
2109908,"0.9998","4.583074","4.6","0.809572","4.338014","3.5"
2110005,"0.991344","5.068714","5","0.868861","3.827154","3.3"
2110039,"0.962307","4.732332","4.6","0.851438","3.78933","3.2"
2110104,"1","4.186539","4.2","0.869375","3.224648","2.8"
2110203,"0.993782","4.847218","4.8","0.938918","3.414365","3.2"
2110237,"1","5.069653","5.1","0.916981","3.99332","3.7"
2110278,"0.976182","4.374087","4.3","0.914966","-","-"
2110302,"0.975308","5.248003","5.1","0.799454","3.572847","2.9"
2110401,"0.985304","3.999325","3.9","0.827862","-","-"
2110500,"0.983309","4.788708","4.7","0.913863","3.878765","3.5"
2110609,"1","4.843754","4.8","0.864151","3.652857","3.2"
2110658,"0.963154","4.466978","4.3","0.908531","3.845423","3.5"
2110708,"0.988307","4.952996","4.9","0.955841","3.779304","3.6"
2110807,"0.834431","4.689319","3.9","1","-","-"
2110856,"0.919196","5.040011","4.6","0.929094","4.321129","4"
2110906,"0.978573","4.445827","4.4","0.888707","3.313846","2.9"
2111003,"0.973431","4.084475","4","0.750147","3.559602","2.7"
2111029,"0.970631","4.539484","4.4","0.756864","3.654059","2.8"
2111052,"0.984171","4.992449","4.9","0.855986","3.479805","3"
2111078,"0.974544","4.374963","4.3","0.759749","3.327368","2.5"
2111102,"0.994783","5.115183","5.1","0.95869","4.422388","4.2"
2111201,"0.995791","5.430603","5.4","0.868788","3.909805","3.4"
2111250,"0.934694","4.907726","4.6","0.916296","3.864856","3.5"
2111300,"0.956512","5.134815","4.9","0.922933","4.362247","4"
2111409,"0.947543","4.704031","4.5","0.958811","-","-"
2111508,"0.978167","4.856187","4.8","0.847545","3.489278","3"
2111532,"0.991717","4.671765","4.6","0.949839","-","-"
2111573,"0.982122","5.002956","4.9","0.995629","4.624608","4.6"
2111607,"0.991781","4.926071","4.9","0.936064","4.247862","4"
2111631,"0.950156","3.808388","3.6","0.87546","3.763471","3.3"
2111672,"0.974107","5.142171","5","0.972852","4.452249","4.3"
2111706,"0.983138","4.340032","4.3","0.948793","3.517386","3.3"
2111722,"0.990876","4.675222","4.6","0.672972","-","-"
2111748,"0.95958","4.471461","4.3","0.806288","-","-"
2111763,"0.956417","4.090711","3.9","0.813403","3.820786","3.1"
2111789,"1","3.96494","4","1","3.125945","3.1"
2111805,"0.962099","4.373263","4.2","0.860464","3.905294","3.4"
2111904,"0.975307","4.941496","4.8","0.880474","3.393344","3"
2111953,"0.99778","4.232892","4.2","0.961788","3.247864","3.1"
2112001,"0.933887","5.257108","4.9","0.969226","3.922535","3.8"
2112100,"0.955609","4.590897","4.4","0.944937","3.820453","3.6"
2112209,"0.995593","6.083624","6.1","0.845038","4.150902","3.5"
2112233,"0.986408","5.193457","5.1","0.985622","-","-"
2112274,"0.952892","3.941187","3.8","0.720059","3.278433","2.4"
2112308,"0.965568","4.658486","4.5","0.823922","3.509556","2.9"
2112407,"0.96034","4.501858","4.3","0.718869","3.285731","2.4"
2112456,"0.947175","4.503216","4.3","0.798238","3.550194","2.8"
2112506,"0.984848","5.385012","5.3","0.894168","3.556211","3.2"
2112605,"0.963522","3.924244","3.8","0.877914","3.252923","2.9"
2112704,"0.9998","4.847301","4.8","0.854613","3.64101","3.1"
2112803,"0.975217","4.725869","4.6","0.793145","3.845501","3.1"
2112852,"0.988571","4.846745","4.8","0.99118","3.995271","4"
2112902,"0.977165","5.173318","5.1","0.932684","3.44627","3.2"
2113009,"0.95593","4.999818","4.8","0.771864","3.955597","3.1"
2114007,"0.938588","5.785673","5.4","0.951393","3.651207","3.5"
2200053,"0.987273","5.327455","5.3","0.951228","-","-"
2200103,"1","5.20901","5.2","1","4.570715","4.6"
2200202,"0.999197","5.712632","5.7","0.872367","3.970132","3.5"
2200251,"1","-","-","0.880342","-","-"
2200277,"1","-","-","0.932969","-","-"
2200301,"0.998794","4.954211","4.9","0.923823","3.956916","3.7"
2200400,"1","5.302022","5.3","0.99666","4.102365","4.1"
2200459,"0.995314","-","-","0.934375","-","-"
2200509,"0.99479","4.372304","4.3","0.917675","4.419898","4.1"
2200608,"1","4.872534","4.9","0.867509","4.883784","4.2"
2200707,"0.97993","4.551678","4.5","1","-","-"
2200806,"1","5.063431","5.1","1","-","-"
2200905,"0.982958","5.40411","5.3","0.953881","4.059425","3.9"
2200954,"1","5.361468","5.4","0.84555","-","-"
2201002,"0.988961","5.070585","5","0.99118","4.481628","4.4"
2201051,"0.990727","4.868876","4.8","0.919524","-","-"
2201101,"0.978554","4.373261","4.3","1","-","-"
2201150,"0.980436","5.871915","5.8","0.927436","3.641888","3.4"
2201176,"1","4.743505","4.7","0.87982","-","-"
2201200,"0.997188","5.162321","5.1","0.94693","3.964217","3.8"
2201309,"0.925095","-","-","1","-","-"
2201408,"0.990725","4.561007","4.5","0.995629","3.836242","3.8"
2201507,"0.989977","5.1189","5.1","1","3.95521","4"
2201556,"1","-","-","0.981458","-","-"
2201572,"1","5.725101","5.7","0.947791","4.372419","4.1"
2201606,"0.99839","5.824807","5.8","0.969254","4.045082","3.9"
2201705,"0.921616","5.321478","4.9","0.861542","4.2589","3.7"
2201739,"0.990874","-","-","0.984536","-","-"
2201770,"0.970367","4.590273","4.5","1","4.529734","4.5"
2201804,"0.989211","-","-","0.990489","4.248669","4.2"
