UF,COD,MUN,ARRECADACAO_TOTAL_IMPOSTOS
AM,1301159,Careiro da Várzea,467393.687428296
AM,1301209,Coari,28648683.0185129
AM,1301308,Codajás,1051864.09277224
AM,1301407,Eirunepé,945897.456513728
AM,1301506,Envira,476518.09316694
AM,1301605,Fonte Boa,647656.052181518
AM,1301654,Guajará,234267.354351587
AM,1301704,Humaitá,3790962.11140791
AM,1301803,Ipixuna,274432.274601658
AM,1301852,Iranduba,4363592.26312758
AM,1301902,Itacoatiara,15949308.9773609
AM,1301951,Itamarati,166549.225418376
AM,1302009,Itapiranga,301901.36246858
AM,1302108,Japurá,173128.045608717
AM,1302207,Juruá,419343.233040799
AM,1302306,Jutaí,457880.34728544
AM,1302405,Lábrea,6769.87424751386
AM,1302504,Manacapuru,3399095.21820539
AM,1302553,Manaquiri,532844.503416933
AM,1302603,Manaus,1074013608.32527
AM,1302702,Manicoré,2451979.65616683
AM,1302801,Maraã,601861.730188701
AM,1302900,Maués,3985236.05924775
AM,1303007,Nhamundá,14936.5889573795
AM,1303106,Nova Olinda do Norte,707966.636000025
AM,1303205,Novo Airão,1105097.96292166
AM,1303304,Novo Aripuanã,861950.585034377
AM,1303403,Parintins,5417111.74914281
AM,1303502,Pauini,626771.954322149
AM,1303536,Presidente Figueiredo,8147783.60789546
AM,1303569,Rio Preto da Eva,1570390.86605448
AM,1303601,Santa Isabel do Rio Negro,197859.350171711
AM,1303700,Santo Antônio do Içá,11283.1237458564
AM,1303809,São Gabriel da Cachoeira,2387798.77627056
AM,1303908,São Paulo de Olivença,733599.831416181
AM,1303957,São Sebastião do Uatumã,202172.878122366
AM,1304005,Silves,808478.938438093
AM,1304062,Tabatinga,3988201.9308982
AM,1304104,Tapauá,610898.086532586
AM,1304203,Tefé,8281091.324982
AM,1304237,Tonantins,1025.73852235059
AM,1304260,Uarini,512589.234558691
AM,1304302,Urucará,782435.868165791
AM,1304401,Urucurituba,385024.862924176
AP,1600055,Serra do Navio,289450.220009938
AP,1600105,Amapá,226128.252522743
AP,1600154,Pedra Branca do Amaparí,14206776.901377
AP,1600204,Calçoene,550442.370970551
AP,1600212,Cutias,13072.6066571788
AP,1600238,Ferreira Gomes,1381998.72343559
AP,1600253,Itaubal,108792.294581649
AP,1600279,Laranjal do Jari,1353061.76784233
AP,1600303,Macapá,84927980.8673835
AP,1600402,Mazagão,318474.913857265
AP,1600501,Oiapoque,1598898.02320039
AP,1600535,Porto Grande,1148623.19744226
AP,1600550,Pracuúba,62619.0699073688
AP,1600600,Santana,14720371.4827762
AP,1600709,Tartarugalzinho,357744.024174047
AP,1600808,Vitória do Jari,379264.438925757
BA,2900108,Abaíra,58650.3439610013
BA,2900207,Abaré,869447.800210704
BA,2900306,Acajutiba,512087.853568966
BA,2900355,Adustina,448436.049602524
BA,2900405,Água Fria,648861.366746976
BA,2900504,Érico Cardoso,392955.552235399
BA,2900603,Aiquara,331530.999285977
BA,2900702,Alagoinhas,41704839.6557028
BA,2900801,Alcobaça,4222549.59544739
BA,2900900,Almadina,168331.251210641
BA,2901007,Amargosa,4558931.05064224
BA,2901106,Amélia Rodrigues,3095649.97565728
BA,2901155,América Dourada,885031.599403531
BA,2901205,Anagé,840409.486265364
BA,2901304,Andaraí,1332274.10991883
BA,2901353,Andorinha,1828564.87222663
BA,2901403,Angical,618568.302768093
BA,2901502,Anguera,370292.745138321
BA,2901601,Antas,678546.855026916
BA,2901700,Antônio Cardoso,1557861.2443415
BA,2901809,Antônio Gonçalves,464546.575783963
BA,2901908,Aporá,764366.427583908
BA,2901957,Apuarema,338201.305095127
BA,2902005,Aracatu,779892.19049114
BA,2902054,Araças,3796495.24759033
BA,2902104,Araci,1522055.50766371
BA,2902203,Aramari,1003772.58832908
BA,2902252,Arataca,244554.619338249
BA,2902302,Aratuípe,173410.082672822
BA,2902401,Aurelino Leal,11829.9141799659
BA,2902500,Baianópolis,946436.365856858
BA,2902609,Baixa Grande,578810.010911745
BA,2902658,Banzaê,475827.709597086
BA,2902708,Barra,3612949.34680455
BA,2902807,Barra da Estiva,2297132.46610683
BA,2902906,Barra do Choça,3758218.22473411
BA,2903003,Barra do Mendes,1253185.3001995
BA,2903102,Barra do Rocha,183447.51878498
BA,2903201,Barreiras,54285235.3127153
BA,2903235,Barro Alto,608746.11788485
BA,2903276,Barrocas,1707373.65040582
BA,2903300,Governador Lomanto Júnior,273567.105187596
BA,2903409,Belmonte,4075448.30573978
BA,2903508,Belo Campo,1284066.97739118
BA,2903607,Biritinga,373764.531542765
BA,2903706,Boa Nova,1049171.37529029
BA,2903805,Boa Vista do Tupim,1039633.06354311
BA,2903904,Bom Jesus da Lapa,9163031.70748765
BA,2903953,Bom Jesus da Serra,774654.841397715
BA,2904001,Boninal,313521.990089138
