UF,COD,MUN,VALOR_TOTAL_BF
AM,1303601,Santa Isabel do Rio Negro,978956
AM,1303700,Santo Antônio do Içá,1625696
AM,1303809,São Gabriel da Cachoeira,3076265
AM,1303908,São Paulo de Olivença,2737019
AM,1303957,São Sebastião do Uatumã,798.32
AM,1304005,Silves,985709
AM,1304062,Tabatinga,3611012
AM,1304104,Tapauá,1212477
AM,1304203,Tefé,4521645
AM,1304237,Tonantins,1563877
AM,1304260,Uarini,1153162
AM,1304302,Urucará,1702622
AM,1304401,Urucurituba,2152996
AP,1600055,Serra do Navio,448684
AP,1600105,Amapá,844989
AP,1600154,Pedra Branca do Amaparí,1428784
AP,1600204,Calçoene,777659
AP,1600212,Cutias,418846
AP,1600238,Ferreira Gomes,390917
AP,1600253,Itaubal,795559
AP,1600279,Laranjal do Jari,3631174
AP,1600303,Macapá,21550665
AP,1600402,Mazagão,2026339
AP,1600501,Oiapoque,1403025
AP,1600535,Porto Grande,1432706
AP,1600550,Pracuúba,603708
AP,1600600,Santana,8796675
AP,1600709,Tartarugalzinho,1000733
AP,1600808,Vitória do Jari,1140672
BA,2900108,Abaíra,813585
BA,2900207,Abaré,2136627
BA,2900306,Acajutiba,1327487
BA,2900355,Adustina,1579283
BA,2900405,Água Fria,1929594
BA,2900504,Érico Cardoso,586661
BA,2900603,Aiquara,354654
BA,2900702,Alagoinhas,12310.88
BA,2900801,Alcobaça,1770521
BA,2900900,Almadina,630056
BA,2901007,Amargosa,2093482
BA,2901106,Amélia Rodrigues,1433771
BA,2901155,América Dourada,1219428
BA,2901205,Anagé,2062078
BA,2901304,Andaraí,1129327
BA,2901353,Andorinha,1309768
BA,2901403,Angical,1237225
BA,2901502,Anguera,1103717
BA,2901601,Antas,1135126
BA,2901700,Antônio Cardoso,1282152
BA,2901809,Antônio Gonçalves,962931
BA,2901908,Aporá,1799174
BA,2901957,Apuarema,798966
BA,2902005,Aracatu,1043893
BA,2902054,Araças,1164511
BA,2902104,Araci,4647737
BA,2902203,Aramari,1101.39
BA,2902252,Arataca,973354
BA,2902302,Aratuípe,990348
BA,2902401,Aurelino Leal,1361341
BA,2902500,Baianópolis,1248985
BA,2902609,Baixa Grande,1760.98
BA,2902658,Banzaê,885343
BA,2902708,Barra,3565327
BA,2902807,Barra da Estiva,1738.72
BA,2902906,Barra do Choça,2401937
BA,2903003,Barra do Mendes,1050431
