Data,vendas
04/2023,118111
05/2023,127460
06/2023,141995
07/2023,176717
08/2023,153466
09/2023,145668
10/2023,163148
11/2023,160679
12/2023,187724
01/2024,118490
02/2024,120297
03/2024,137889
04/2024,164335
05/2024,144014
06/2024,163799
07/2024,178045
08/2024,170985
09/2024,171652
10/2024,195191
11/2024,193718
12/2024,189851
01/2025,123366
02/2025,134795
